iso3_country,Country Name,subsector,start_time,end_time,gas,emissions_quantity,Emssion_qty_avg_replaced,GDP per capita (current US$),Population,Unnamed: 10,Unnamed: 11,Unnamed: 12,Total_GDP,Emissions_Intensity,Emissions_per_capita,Avg_Intensity_2015_2024,log_GDP_pc,log_Emissions_Intensity,log_Emissions_per_capita
ALB,Albania,bauxite-mining,2023,2023,co2e_100yr,0.0,25116.93002,9730.869219068934,2414095,,,,23491242727.40822,2.5811599616178205,0.01040428401533494,16.329457276810583,9.183058505112824,0.9482388954211286,-4.565537623489575
ALB,Albania,bauxite-mining,2024,2024,co2e_100yr,0.0,25116.93002,11377.775743109876,2377128,,,,27046429296.667294,2.2075430723100906,0.010566082272389202,16.329457276810583,9.339417235423076,0.7918801651108758,-4.550106184284295
AND,Andorra,bauxite-mining,2015,2015,co2e_100yr,0.0,25116.93002,38654.952879160024,72174,,,,2789882569.100496,0.6497726203034966,0.34800523762019564,4.330467120319181,10.562430192743614,-0.4311327922096629,-1.0555377484008241
AND,Andorra,bauxite-mining,2016,2016,co2e_100yr,0.0,25116.93002,40129.83858114741,72181,,,,2896611878.625801,0.6258916284751685,0.3479714886188886,4.330467120319181,10.599875440854353,-0.4685780403204017,-1.0556347315327348
AND,Andorra,bauxite-mining,2017,2017,co2e_100yr,0.0,25116.93002,40672.9717424447,73763,,,,3000160414.6379485,0.6175336825410513,0.34050852080311267,4.330467120319181,10.613319065876384,-0.4820216653424335,-1.077315129026937
AND,Andorra,bauxite-mining,2018,2018,co2e_100yr,0.0,25116.93002,42819.757745613286,75162,,,,3218418631.675786,0.5865733797285,0.3341705917884037,4.330467120319181,10.664754904622141,-0.5334575040881906,-1.0961036622390472
AND,Andorra,bauxite-mining,2019,2019,co2e_100yr,0.0,25116.93002,42819.757745613286,76474,,,,3274598153.8380303,0.5865733797285,0.3284375084342391,4.330467120319181,10.664754904622141,-0.5334575040881906,-1.1134086919265045
AND,Andorra,bauxite-mining,2020,2020,co2e_100yr,0.0,25116.93002,37361.10700816147,77380,,,,2891002460.2915344,0.6722747806833789,0.3245920136986301,4.330467120319181,10.528385522743234,-0.39708812220928263,-1.1251862274124735
AND,Andorra,bauxite-mining,2021,2021,co2e_100yr,0.0,25116.93002,42425.70664543573,78364,,,,3324648075.5629253,0.5920214889974531,0.32051618115461183,4.330467120319181,10.65550974630869,-0.5242123457747392,-1.1378225163619746
AND,Andorra,bauxite-mining,2022,2022,co2e_100yr,0.0,25116.93002,42414.04798612277,79705,,,,3380611694.7339153,0.5921842222703637,0.31512364368609247,4.330467120319181,10.65523490677298,-0.5239375062390292,-1.1547901972164598
AND,Andorra,bauxite-mining,2023,2023,co2e_100yr,0.0,25116.93002,46812.426101310244,80856,,,,3785065524.8475413,0.5365440783958214,0.3106378007816365,4.330467120319181,10.753903961648135,-0.6226065611141829,-1.1691276728986288
AND,Andorra,bauxite-mining,2024,2024,co2e_100yr,0.0,25116.93002,49303.64916743357,81938,,,,4039842405.481172,0.5094334890852344,0.30653579560155236,4.330467120319181,10.805753376914863,-0.674455976380912,-1.1824207418393118
ARE,United Arab Emirates,bauxite-mining,2015,2015,co2e_100yr,0.0,25116.93002,44910.33499552302,8505237,,,,381973042886.31726,0.5592683738053575,0.0029531134782017246,4.001906758127265,10.712423225317446,-0.5811258247834953,-5.824895214988533
ARE,United Arab Emirates,bauxite-mining,2016,2016,co2e_100yr,0.0,25116.93002,42721.09993831847,8935095,,,,381717086453.3696,0.5879279806995676,0.002811042302292253,4.001906758127265,10.662448220922427,-0.5311508203884752,-5.87419990275591
ARE,United Arab Emirates,bauxite-mining,2017,2017,co2e_100yr,0.0,25116.93002,43733.61922874352,9223225,,,,403365010211.02795,0.5743162917440898,0.0027232264224281637,4.001906758127265,10.68587240404526,-0.554575003511308,-5.905937880198098
ARE,United Arab Emirates,bauxite-mining,2018,2018,co2e_100yr,0.0,25116.93002,47135.35919439715,9346701,,,,440560108917.63104,0.5328681153444054,0.002687250829998734,4.001906758127265,10.760778724346396,-0.6294813238124451,-5.919236567032927
ARE,United Arab Emirates,bauxite-mining,2019,2019,co2e_100yr,0.0,25116.93002,47135.35919439715,9445785,,,,445230468848.04865,0.5328681153444054,0.002659062218756832,4.001906758127265,10.760778724346396,-0.6294813238124451,-5.929781730080952
ARE,United Arab Emirates,bauxite-mining,2020,2020,co2e_100yr,0.0,25116.93002,37991.74929716649,9401038,,,,357161878829.1355,0.6611153864892785,0.00267171880594462,4.001906758127265,10.54512429137497,-0.4138268908410192,-5.925033228712658
ARE,United Arab Emirates,bauxite-mining,2021,2021,co2e_100yr,0.0,25116.93002,44118.50471927712,9575152,,,,422441388699.7958,0.5693060129715914,0.0026231364285392023,4.001906758127265,10.694634581570932,-0.5633371810369803,-5.943384528922359
ARE,United Arab Emirates,bauxite-mining,2022,2022,co2e_100yr,0.0,25116.93002,50759.75892311914,10074977,,,,511403403675.9701,0.4948197263513833,0.0024930012267025525,4.001906758127265,10.83485917246951,-0.7035617719355597,-5.994267942269758
ARE,United Arab Emirates,bauxite-mining,2023,2023,co2e_100yr,0.0,25116.93002,49850.687217516395,10483751,,,,522622191967.3247,0.5038432050175325,0.002395796124879349,4.001906758127265,10.816787561002412,-0.6854901604684612,-6.0340396503927405
ARE,United Arab Emirates,bauxite-mining,2024,2024,co2e_100yr,0.0,25116.93002,50273.506046983675,10986400,,,,552324846834.5814,0.49960569681626515,0.0022861838290977937,4.001906758127265,10.825233498574942,-0.6939360980409912,-6.080871257923245
ARG,Argentina,bauxite-mining,2015,2015,co2e_100yr,0.0,25116.93002,13679.626498095417,43477012,,,,594749285413.2124,1.836083026352874,0.0005777059844866984,5.084223142704961,9.52366288803301,0.6076345125009402,-7.4564453229723515
ARG,Argentina,bauxite-mining,2016,2016,co2e_100yr,0.0,25116.93002,12699.962313775635,43900313,,,,557532320662.9546,1.9777168939120153,0.0005721355567555977,5.084223142704961,9.44935430502304,0.6819430955109128,-7.46613443254284
ARG,Argentina,bauxite-mining,2017,2017,co2e_100yr,0.0,25116.93002,14532.500930851062,44288894,,,,643628393281.364,1.7283281205012169,0.0005671157654106242,5.084223142704961,9.58414286362856,0.54715453690539,-7.474946926945879
ARG,Argentina,bauxite-mining,2018,2018,co2e_100yr,0.0,25116.93002,11752.799892297908,44654882,,,,524819892360.1758,2.137101818304603,0.0005624677279406986,5.084223142704961,9.371846779892266,0.7594506206416859,-7.483176620293474
ARG,Argentina,bauxite-mining,2019,2019,co2e_100yr,0.0,25116.93002,11752.799892297908,44973465,,,,528564134608.26373,2.137101818304603,0.0005584833194418086,5.084223142704961,9.371846779892266,0.7594506206416859,-7.490285627555852
ARG,Argentina,bauxite-mining,2020,2020,co2e_100yr,0.0,25116.93002,8535.59938004389,45191965,,,,385740508436.96515,2.9426088200347156,0.0005557830915296557,5.084223142704961,9.052000858895653,1.079296541638298,-7.495132283053334
ARG,Argentina,bauxite-mining,2021,2021,co2e_100yr,0.0,25116.93002,10738.017922338438,45312281,,,,486564085480.0355,2.3390657569819213,0.0005543073415350686,5.084223142704961,9.28154580003853,0.8497516004954221,-7.497791076524773
ARG,Argentina,bauxite-mining,2022,2022,co2e_100yr,0.0,25116.93002,13962.189408722319,45407904,,,,633993756301.0798,1.798924888120283,0.0005531400440769078,5.084223142704961,9.544108198454825,0.587189202079126,-7.4998991634547885
ARG,Argentina,bauxite-mining,2023,2023,co2e_100yr,0.0,25116.93002,14261.84656679479,45538401,,,,649461687959.1744,1.7611274881107337,0.0005515549397529351,5.084223142704961,9.565343178347431,0.5659542221865205,-7.502768924154432
ARG,Argentina,bauxite-mining,2024,2024,co2e_100yr,0.0,25116.93002,13969.78366037374,45696159,,,,638365455340.0404,1.797946956848438,0.0005496507927504366,5.084223142704961,9.544651966116334,0.5866454344176179,-7.506227221724516
